Breed,Year,Count
Fox Terrier,1931,5505
American Foxhound,1931,7
French Bulldog,1931,247
German Shepherd,1931,2460
Giant Schnauzer,1931,29
Great Dane,1931,555
Greyhound,1931,9
Irish Terrier,1931,601
Irish Wolfhound,1931,81
Italian Greyhound,1931,3
Japanese Chin,1931,72
Keeshond,1931,3
Kerry Blue Terrier,1931,133
Kuvasz,1931,1
Maltese,1931,4
Manchester Terrier,1931,174
Mastiff,1931,5
Miniature Pinscher,1931,17
Miniature Schnauzer,1931,86
Newfoundland,1931,134
Norwegian Elkhound,1931,41
Old English Sheepdog,1931,57
Otterhound,1931,3
Papillon,1931,9
Pekingese,1931,3247
Pointer,1931,178
German Shorthaired Pointer,1931,3
Pomeranian,1931,1284
Poodle,1931,54
Pug,1931,69
Chesapeake Bay Retriever,1931,51
Curly-Coated Retriever,1931,60
Rottweiler,1931,8
Saint Bernard,1931,257
Saluki,1931,22
Samoyed,1931,123
Schipperke,1931,80
Scottish Deerhound,1931,6
Scottish Terrier,1931,2803
Sealyham Terrier,1931,369
English Setter,1931,517
Gordon Setter,1931,50
Irish Setter,1931,713
Shetland Sheepdog,1931,35
Siberian Husky,1931,48
Skye Terrier,1931,4
Clumber Spaniel,1931,4
Spaniel (All Cockers),1931,2940
English Springer Spaniel,1931,1351
Irish Water Spaniel,1931,38
Standard Schnauzer,1931,188
Welsh Terrier,1931,96
West Highland White Terrier,1931,69
Whippet,1931,37
Wirehaired Pointing Griffon,1931,8
Yorkshire Terrier,1931,40
Eskimo,1931,12
Afghan Hound,1932,1
Airedale Terrier,1932,434
Basset Hound,1932,39
Beagle,1932,2734
Bedlington Terrier,1932,32
Belgian Sheepdog,1932,4
Bloodhound,1932,51
Border Terrier,1932,12
Borzoi,1932,81
Boston Terrier,1932,10143
Boxer,1932,26
Briard,1932,21
Brussels Griffon,1932,38
Bull Terrier,1932,250
Bulldog,1932,1198
Cairn Terrier,1932,311
Chihuahua,1932,148
Chow Chow,1932,3576
Collie,1932,1043
Dachshund,1932,466
Dalmatian,1932,100
Dandie Dinmont Terrier,1932,19
Doberman Pinscher,1932,694
English Toy Spaniel (Blenheim and Prince Charles),1932,50
Fox Terrier,1932,6018
American Foxhound,1932,10
French Bulldog,1932,199
German Shepherd,1932,1333
Giant Schnauzer,1932,18
Great Dane,1932,591
Greyhound,1932,11
Irish Terrier,1932,726
Irish Wolfhound,1932,46
Italian Greyhound,1932,1
Japanese Chin,1932,67
Keeshond,1932,4
Kerry Blue Terrier,1932,106
Maltese,1932,13
Manchester Terrier,1932,174
Mastiff,1932,8
Miniature Pinscher,1932,20
Miniature Schnauzer,1932,68
Newfoundland,1932,96
Norwegian Elkhound,1932,68
Old English Sheepdog,1932,54
Otterhound,1932,2
Papillon,1932,5
Pekingese,1932,3293
Pointer,1932,156
German Shorthaired Pointer,1932,4
Pomeranian,1932,1324
Poodle,1932,44
Pug,1932,46
Chesapeake Bay Retriever,1932,36
Curly-Coated Retriever,1932,82
Rottweiler,1932,9
Saint Bernard,1932,307
Saluki,1932,14
Samoyed,1932,120
Schipperke,1932,102
Scottish Deerhound,1932,1
Scottish Terrier,1932,3567
Sealyham Terrier,1932,347
English Setter,1932,510
Gordon Setter,1932,50
Irish Setter,1932,798
Shetland Sheepdog,1932,34
Siberian Husky,1932,9
Skye Terrier,1932,7
Clumber Spaniel,1932,4
Spaniel (All Cockers),1932,3473
English Springer Spaniel,1932,1322
Irish Water Spaniel,1932,17
Standard Schnauzer,1932,173
Welsh Terrier,1932,108
West Highland White Terrier,1932,86
Whippet,1932,24
Yorkshire Terrier,1932,30
Eskimo,1932,7
Afghan Hound,1933,17
Airedale Terrier,1933,552
Basset Hound,1933,30
Beagle,1933,2896
Bedlington Terrier,1933,40
Bloodhound,1933,56
Border Terrier,1933,4
Borzoi,1933,85
Boston Terrier,1933,9828
Boxer,1933,27
Briard,1933,14
Brussels Griffon,1933,56
Bull Terrier,1933,301
Bulldog,1933,1382
Cairn Terrier,1933,344
Chihuahua,1933,140
Chow Chow,1933,3494
Collie,1933,1098
Dachshund,1933,893
Dalmatian,1933,117
Dandie Dinmont Terrier,1933,20
Doberman Pinscher,1933,812
English Toy Spaniel (Blenheim and Prince Charles),1933,36
Fox Terrier,1933,6646
American Foxhound,1933,8
English Foxhound,1933,14
French Bulldog,1933,179
German Shepherd,1933,930
Giant Schnauzer,1933,15
Great Dane,1933,671
Great Pyrenees,1933,13
Greyhound,1933,32
Irish Terrier,1933,717
Irish Wolfhound,1933,57
Italian Greyhound,1933,3
Japanese Chin,1933,75
Keeshond,1933,3
Kerry Blue Terrier,1933,122
Maltese,1933,26
Manchester Terrier,1933,223
Mastiff,1933,8
Miniature Pinscher,1933,33
Miniature Schnauzer,1933,63
Newfoundland,1933,123
Norwegian Elkhound,1933,101
Old English Sheepdog,1933,39
Otterhound,1933,3
Papillon,1933,25
Pekingese,1933,3255
Pointer,1933,199
German Shorthaired Pointer,1933,16
Pomeranian,1933,1312
Poodle,1933,130
Pug,1933,87
Chesapeake Bay Retriever,1933,70
Curly-Coated Retriever,1933,1
Flat-Coated Retriever,1933,3
Golden Retriever,1933,28
Labrador Retriever,1933,84
Rottweiler,1933,5
Saint Bernard,1933,274
Saluki,1933,18
Samoyed,1933,102
Schipperke,1933,118
Scottish Deerhound,1933,3
Scottish Terrier,1933,4540
Sealyham Terrier,1933,475
English Setter,1933,677
Gordon Setter,1933,49
Irish Setter,1933,932
Shetland Sheepdog,1933,56
Siberian Husky,1933,5
Skye Terrier,1933,5
Clumber Spaniel,1933,12
Spaniel (All Cockers),1933,4396
English Springer Spaniel,1933,1731
Irish Water Spaniel,1933,10
Sussex Spaniel,1933,1
Standard Schnauzer,1933,216
Welsh Terrier,1933,163
West Highland White Terrier,1933,74
Whippet,1933,22
Wirehaired Pointing Griffon,1933,4
Yorkshire Terrier,1933,67
Eskimo,1933,7
Afghan Hound,1934,25
Airedale Terrier,1934,613
Basset Hound,1934,47
Beagle,1934,3404
Bedlington Terrier,1934,30
Belgian Sheepdog,1934,8
Bloodhound,1934,55
Border Terrier,1934,4
Borzoi,1934,102
Boston Terrier,1934,10460
Boxer,1934,71
Briard,1934,16
Brittany,1934,10
Brussels Griffon,1934,50
Bull Terrier,1934,350
Bulldog,1934,1483
Bullmastiff,1934,4
Cairn Terrier,1934,431
Chihuahua,1934,248
Chow Chow,1934,3876
Collie,1934,1230
Dachshund,1934,1370
Dalmatian,1934,149
Dandie Dinmont Terrier,1934,44
Doberman Pinscher,1934,1044
English Toy Spaniel (Blenheim and Prince Charles),1934,49
Fox Terrier,1934,7081
American Foxhound,1934,1
English Foxhound,1934,1
French Bulldog,1934,204
German Shepherd,1934,792
Giant Schnauzer,1934,20
Great Dane,1934,870
Great Pyrenees,1934,15
Greyhound,1934,12
Harrier,1934,6
Irish Terrier,1934,843
Irish Wolfhound,1934,68
Italian Greyhound,1934,3
Japanese Chin,1934,91
Keeshond,1934,39
Kerry Blue Terrier,1934,183
Kuvasz,1934,10
Lakeland Terrier,1934,4
Maltese,1934,22
Manchester Terrier,1934,246
Mastiff,1934,7
Miniature Pinscher,1934,79
Miniature Schnauzer,1934,142
Newfoundland,1934,179
Norwegian Elkhound,1934,89
Old English Sheepdog,1934,66
