Breed,Year,Count
Dalmatian,1931,93.0
Dandie Dinmont Terrier,1931,10.0
Doberman Pinscher,1931,654.0
English Toy Spaniel (Blenheim and Prince Charles),1931,66.0
English Toy Spaniel (All),1931,66.0
Fox Terrier (Smooth),1931,334.0
Fox Terrier (Wire),1931,5171.0
Fox Terrier,1931,5505.0
American Foxhound,1931,7.0
French Bulldog,1931,247.0
German Shepherd,1931,2460.0
Giant Schnauzer,1931,29.0
Great Dane,1931,555.0
Greyhound,1931,9.0
Irish Terrier,1931,601.0
Irish Wolfhound,1931,81.0
Italian Greyhound,1931,3.0
Japanese Chin,1931,72.0
Keeshond,1931,3.0
Kerry Blue Terrier,1931,133.0
Kuvasz,1931,1.0
Maltese,1931,4.0
Manchester Terrier-XX,1931,7.0
Manchester Terrier (Toy),1931,167.0
Manchester Terrier,1931,174.0
Mastiff,1931,5.0
Miniature Pinscher,1931,17.0
Miniature Schnauzer,1931,86.0
Newfoundland,1931,134.0
Norwegian Elkhound,1931,41.0
Old English Sheepdog,1931,57.0
Otterhound,1931,3.0
Papillon,1931,9.0
Pekingese,1931,3247.0
Pointer,1931,178.0
German Shorthaired Pointer,1931,3.0
Pomeranian,1931,1284.0
Poodle (miniature),1931,39.0
Poodle (toy),1931,15.0
Poodle,1931,54.0
Pug,1931,69.0
Chesapeake Bay Retriever,1931,51.0
Curly-Coated Retriever,1931,60.0
Rottweiler,1931,8.0
Saint Bernard,1931,257.0
Saluki,1931,22.0
Samoyed,1931,123.0
Schipperke,1931,80.0
Scottish Deerhound,1931,6.0
Scottish Terrier,1931,2803.0
Sealyham Terrier,1931,369.0
English Setter,1931,517.0
Gordon Setter,1931,50.0
Irish Setter,1931,713.0
Shetland Sheepdog,1931,35.0
Siberian Husky,1931,48.0
Skye Terrier,1931,4.0
Clumber Spaniel,1931,4.0
"Spaniel (Cocker), American type, any solid color other than black, including black and tan",1931,2940.0
Spaniel (All Cockers),1931,2940.0
English Springer Spaniel,1931,1351.0
Irish Water Spaniel,1931,38.0
Standard Schnauzer,1931,188.0
Welsh Terrier,1931,96.0
West Highland White Terrier,1931,69.0
Whippet,1931,37.0
Wirehaired Pointing Griffon,1931,8.0
Yorkshire Terrier,1931,40.0
Eskimo,1931,12.0
Afghan Hound,1932,1.0
Airedale Terrier,1932,434.0
Basset Hound,1932,39.0
Beagle,1932,2734.0
Bedlington Terrier,1932,32.0
Belgian Sheepdog,1932,4.0
Bloodhound,1932,51.0
Border Terrier,1932,12.0
Borzoi,1932,81.0
Boston Terrier,1932,10143.0
Boxer,1932,26.0
Briard,1932,21.0
Brussels Griffon,1932,38.0
Bull Terrier,1932,250.0
Bulldog,1932,1198.0
Cairn Terrier,1932,311.0
Chihuahua,1932,148.0
Chow Chow,1932,3576.0
Collie,1932,1043.0
Dachshund-XX  (long-haired),1932,13.0
Daschund-XX (smooth),1932,411.0
Daschund-XX (wire-haired),1932,29.0
